url,url_len,dom,dom_len,is_ip,tld,tld_len,subdom_cnt,letter_cnt,digit_cnt,special_cnt,eq_cnt,qm_cnt,amp_cnt,dot_cnt,dash_cnt,under_cnt,letter_ratio,digit_ratio,spec_ratio,is_https,slash_cnt,entropy,path_len,query_len,label
http://arthro.cz/,17,arthro.cz,9,0,cz,2,0,12,0,5,0,0,0,1,0,0,0.705882353,0.0,0.294117647,0,3,3.292770194,1,0,0
http://www.artinel.cz/,22,artinel.cz,10,0,cz,2,1,16,0,6,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,3.720128777,1,0,0
http://www.aksignal.cz/index-gbr.html,37,aksignal.cz,11,0,cz,2,1,29,0,8,0,0,0,3,1,0,0.783783784,0.0,0.216216216,0,3,4.371087149,15,0,0
http://www.artisys.aero/,24,artisys.aero,12,0,aero,4,1,18,0,6,0,0,0,2,0,0,0.75,0.0,0.25,0,3,3.65726823,1,0,0
http://www.aksvejkovsky.cz/en/,30,aksvejkovsky.cz,15,0,cz,2,1,23,0,7,0,0,0,2,0,0,0.766666667,0.0,0.233333333,0,4,3.989898095,4,0,0
http://www.mplusdesign.cz/index_en.php,38,mplusdesign.cz,14,0,cz,2,1,30,0,8,0,0,0,3,0,1,0.789473684,0.0,0.210526316,0,3,4.148600211,13,0,0
http://pokorny.czechtrade.us/,29,czechtrade.us,13,0,us,2,1,23,0,6,0,0,0,2,0,0,0.793103448,0.0,0.206896552,0,3,4.047299098,1,0,0
http://www.acsz.cz/,19,acsz.cz,7,0,cz,2,1,13,0,6,0,0,0,2,0,0,0.684210526,0.0,0.315789474,0,3,3.326360408,1,0,0
http://www.asekol.cz/en/asekol/,31,asekol.cz,9,0,cz,2,1,23,0,8,0,0,0,2,0,0,0.741935484,0.0,0.258064516,0,5,3.82131194,11,0,0
http://atelierytapiserii.cz/,28,atelierytapiserii.cz,20,0,cz,2,0,23,0,5,0,0,0,1,0,0,0.821428571,0.0,0.178571429,0,3,3.682005815,1,0,0
http://www.asistencnicentrum.cz/cs/,35,asistencnicentrum.cz,20,0,cz,2,1,28,0,7,0,0,0,2,0,0,0.8,0.0,0.2,0,4,3.864578374,4,0,0
https://www.asklepion.cz/en/,28,asklepion.cz,12,0,cz,2,1,21,0,7,0,0,0,2,0,0,0.75,0.0,0.25,1,4,3.923251797,4,0,0
http://albexpert.cz/index.html,30,albexpert.cz,12,0,cz,2,0,24,0,6,0,0,0,2,0,0,0.8,0.0,0.2,0,3,3.989898095,11,0,0
http://www.rehabilitace-liberec.cz/cs/,38,rehabilitace-liberec.cz,23,0,cz,2,1,30,0,8,0,0,0,2,1,0,0.789473684,0.0,0.210526316,0,4,3.925173237,4,0,0
http://www.afim.cz/,19,afim.cz,7,0,cz,2,1,13,0,6,0,0,0,2,0,0,0.684210526,0.0,0.315789474,0,3,3.536886724,1,0,0
http://www.aip.cz/en/,21,aip.cz,6,0,cz,2,1,14,0,7,0,0,0,2,0,0,0.666666667,0.0,0.333333333,0,4,3.499227542,4,0,0
http://www.czechmycology.org/cz/,32,czechmycology.org,17,0,org,3,1,25,0,7,0,0,0,2,0,0,0.78125,0.0,0.21875,0,4,3.827819531,4,0,0
http://www.agtzlin.eu/,22,agtzlin.eu,10,0,eu,2,1,16,0,6,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,3.720128777,1,0,0
http://www.ahrcr.cz/en/,23,ahrcr.cz,8,0,cz,2,1,16,0,7,0,0,0,2,0,0,0.695652174,0.0,0.304347826,0,4,3.534219021,4,0,0
http://www.alcoma.com/,22,alcoma.com,10,0,com,3,1,16,0,6,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,3.481714573,1,0,0
http://www.aki-koroze.eu/,25,aki-koroze.eu,13,0,eu,2,1,18,0,7,0,0,0,2,1,0,0.72,0.0,0.28,0,3,3.86346519,1,0,0
http://www.ales-atm.com/en/,27,ales-atm.com,12,0,com,3,1,19,0,8,0,0,0,2,1,0,0.703703704,0.0,0.296296296,0,4,3.810081021,4,0,0
http://www.alfarma.com/,23,alfarma.com,11,0,com,3,1,17,0,6,0,0,0,2,0,0,0.739130435,0.0,0.260869565,0,3,3.642489673,1,0,0
http://www.apzs.cz/,19,apzs.cz,7,0,cz,2,1,13,0,6,0,0,0,2,0,0,0.684210526,0.0,0.315789474,0,3,3.326360408,1,0,0
http://astro.sci.muni.cz/,25,muni.cz,7,0,cz,2,2,18,0,7,0,0,0,3,0,0,0.72,0.0,0.28,0,3,3.83326969,1,0,0
http://www.apsscr.cz/,21,apsscr.cz,9,0,cz,2,1,15,0,6,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,3.463280518,1,0,0
http://www.amavet.cz/,21,amavet.cz,9,0,cz,2,1,15,0,6,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,3.522571589,1,0,0
http://www.sadyklasterec.cz/?lang=en,36,sadyklasterec.cz,16,0,cz,2,1,28,0,8,1,1,0,2,0,0,0.777777778,0.0,0.222222222,0,3,4.231746182,1,7,0
http://www.alginit-prodej.cz/,29,alginit-prodej.cz,17,0,cz,2,1,22,0,7,0,0,0,2,1,0,0.75862069,0.0,0.24137931,0,3,4.159199529,1,0,0
http://www.czwa.cz/,19,czwa.cz,7,0,cz,2,1,13,0,6,0,0,0,2,0,0,0.684210526,0.0,0.315789474,0,3,3.155565013,1,0,0
http://www.schpcm.cz/default.asp,32,schpcm.cz,9,0,cz,2,1,25,0,7,0,0,0,3,0,0,0.78125,0.0,0.21875,0,3,3.920958593,12,0,0
http://www.algon.cz/,20,algon.cz,8,0,cz,2,1,14,0,6,0,0,0,2,0,0,0.7,0.0,0.3,0,3,3.646439345,1,0,0
http://www.alimpex.cz/,22,alimpex.cz,10,0,cz,2,1,16,0,6,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,3.754441846,1,0,0
http://www.1-cube.com,21,1-cube.com,10,0,com,3,1,14,1,6,0,0,0,2,1,0,0.666666667,0.047619048,0.285714286,0,2,3.784941827,0,0,0
http://www.allianceforum.org/,29,allianceforum.org,17,0,org,3,1,23,0,6,0,0,0,2,0,0,0.793103448,0.0,0.206896552,0,3,4.116264616,1,0,0
http://www.oze.cz/,18,oze.cz,6,0,cz,2,1,12,0,6,0,0,0,2,0,0,0.666666667,0.0,0.333333333,0,3,3.308270835,1,0,0
http://2el.magnetotherapy.com/,30,magnetotherapy.com,18,0,com,3,1,23,1,6,0,0,0,2,0,0,0.766666667,0.033333333,0.2,0,3,3.923231429,1,0,0
http://www.allowance.cz/,24,allowance.cz,12,0,cz,2,1,18,0,6,0,0,0,2,0,0,0.75,0.0,0.25,0,3,3.636842188,1,0,0
http://www.2vv.cz/,18,2vv.cz,6,0,cz,2,1,11,1,6,0,0,0,2,0,0,0.611111111,0.055555556,0.333333333,0,3,3.308270835,1,0,0
http://www.aschk.cz/,20,aschk.cz,8,0,cz,2,1,14,0,6,0,0,0,2,0,0,0.7,0.0,0.3,0,3,3.446439345,1,0,0
http://3epraha.cz/,18,3epraha.cz,10,0,cz,2,0,12,1,5,0,0,0,1,0,0,0.666666667,0.055555556,0.277777778,0,3,3.46132014,1,0,0
http://www.alpiq.com/,21,alpiq.com,9,0,com,3,1,15,0,6,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,3.653756708,1,0,0
http://www.3dim-laboratory.cz/,30,3dim-laboratory.cz,18,0,cz,2,1,22,1,7,0,0,0,2,1,0,0.733333333,0.033333333,0.233333333,0,3,4.164735179,1,0,0
http://alsglobal.cz/,20,alsglobal.cz,12,0,cz,2,0,15,0,5,0,0,0,1,0,0,0.75,0.0,0.25,0,3,3.646439345,1,0,0
https://ce.asseco.com/cz/,25,asseco.com,10,0,com,3,1,18,0,7,0,0,0,2,0,0,0.72,0.0,0.28,1,4,3.49366069,4,0,0
